"sep=	"
timestamp	ppg	hrm	accx	accy	accz	grax	gray	graz	gyrx	gyry	grz	pressure	stress
1568339882842	2515695.00	0.00	2.11	-3.36	9.00	2.34	-3.38	8.90	3.01	-1.61	0.63	1007.27	0.00
1568339882843	2516330.00	0.00	2.23	-3.39	8.96	2.33	-3.36	8.91	3.71	-2.73	-1.40	1007.27	0.00
1568339882843	2516353.00	0.00	2.35	-3.40	8.96	2.30	-3.36	8.92	4.55	-0.49	-1.40	1007.27	0.00
1568339882843	2516283.00	0.00	2.17	-3.30	9.05	2.32	-3.35	8.92	2.66	-0.49	-0.91	1007.27	0.00
1568339882843	2516343.00	0.00	2.10	-3.43	9.02	2.31	-3.32	8.94	2.87	-0.07	-1.40	1007.26	0.00
1568339882843	2516296.00	0.00	2.32	-3.35	8.93	2.29	-3.31	8.94	5.39	0.84	-0.35	1007.26	0.00
1568339882843	2516115.00	0.00	2.24	-3.28	8.96	2.29	-3.31	8.94	4.13	1.33	0.35	1007.26	0.00
1568339882843	2515561.00	0.00	2.21	-3.40	8.97	2.27	-3.29	8.95	7.84	1.33	-0.21	1007.26	0.00
1568339882843	2515294.00	0.00	2.29	-3.44	8.95	2.25	-3.28	8.96	6.02	0.84	0.84	1007.26	0.00
1568339882843	2515337.00	0.00	2.25	-3.35	8.98	2.24	-3.24	8.98	2.73	-0.07	0.84	1007.26	0.00
1568339882843	2515216.00	0.00	2.18	-3.46	8.96	2.22	-3.22	8.99	-3.08	0.77	-1.96	1007.26	0.00
1568339882844	2515157.00	0.00	2.25	-3.27	8.88	2.20	-3.22	9.00	-4.20	1.75	1.75	1007.26	0.00
1568339882844	2515275.00	0.00	2.16	-3.32	8.98	2.21	-3.25	8.99	2.31	0.28	0.91	1007.26	0.00
1568339882844	2515393.00	0.00	2.15	-3.25	9.03	2.19	-3.30	8.97	4.48	1.61	-0.42	1007.26	0.00
1568339882844	2516167.00	0.00	2.18	-3.33	8.70	2.18	-3.34	8.96	5.18	0.28	0.14	1007.26	0.00
1568339882844	2517790.00	0.00	2.15	-3.72	9.09	2.16	-3.31	8.98	9.80	0.98	-0.49	1007.26	0.00
1568339882844	2519580.00	0.00	2.06	-3.69	8.81	2.15	-3.31	8.98	10.85	0.07	-0.84	1007.26	0.00
1568339882845	2521112.00	0.00	2.10	-3.25	8.85	2.13	-3.27	8.99	4.76	0.63	-0.35	1007.26	0.00
1568339882845	2521776.00	0.00	2.12	-3.51	8.82	2.11	-3.23	9.02	3.64	0.91	-0.63	1007.26	0.00
1568339882878	2519430.00	0.00	2.13	-3.40	8.89	2.11	-3.22	9.02	0.84	0.14	-1.19	1007.26	0.00
1568339882927	2515524.00	0.00	2.04	-3.35	9.07	2.10	-3.21	9.02	3.78	0.14	-1.75	1007.26	0.00
1568339882978	2515633.00	0.00	2.18	-3.38	8.95	2.10	-3.24	9.02	5.32	0.21	-1.47	1007.26	0.00
1568339883026	2518527.00	0.00	2.11	-3.35	9.03	2.10	-3.23	9.02	4.41	0.63	-0.35	1007.26	0.00
1568339883078	2520467.00	0.00	2.09	-3.48	8.89	2.10	-3.22	9.02	4.48	0.56	-0.77	1007.26	0.00
1568339883126	2520828.00	0.00	2.11	-3.40	8.96	2.10	-3.21	9.03	6.93	0.56	-0.21	1007.26	0.00
1568339883178	2520836.00	0.00	2.17	-3.34	8.92	2.10	-3.21	9.03	6.16	1.26	0.49	1007.26	0.00
1568339883226	2520681.00	0.00	2.12	-3.32	8.92	2.09	-3.20	9.03	3.36	-0.14	-0.35	1007.26	0.00
1568339883278	2520363.00	0.00	2.13	-3.40	8.88	2.07	-3.18	9.04	4.13	-0.42	-1.05	1007.26	0.00
1568339883326	2519668.00	0.00	2.14	-3.39	8.93	2.08	-3.19	9.04	4.69	0.56	0.28	1007.26	0.00
1568339883378	2518720.00	0.00	2.05	-3.29	8.99	2.08	-3.19	9.04	2.87	-0.42	-0.28	1007.26	0.00
1568339883426	2518082.00	0.00	2.10	-3.40	8.85	2.07	-3.18	9.04	4.90	-0.35	-0.49	1007.26	0.00
1568339883481	2517388.00	0.00	2.13	-3.33	8.80	2.08	-3.19	9.04	3.92	-0.21	0.35	1007.26	0.00
1568339883526	2515979.00	0.00	2.05	-3.26	8.92	2.08	-3.18	9.04	4.62	-1.61	-1.40	1007.26	0.00
1568339883579	2514337.00	0.00	2.11	-3.37	8.97	2.07	-3.18	9.04	6.23	-0.63	-0.63	1007.26	0.00
1568339883626	2512681.00	0.00	2.12	-3.28	9.00	2.08	-3.17	9.04	4.97	-1.05	-0.42	1007.26	0.00
1568339883678	2511216.00	0.00	2.04	-3.35	9.00	2.08	-3.15	9.05	5.95	-0.98	-1.40	1007.26	0.00
