timestamp,ppg,hrm,accx,accy,accz,grax,gray,graz,gyrx,gyry,grz,pressure,stress
1.56834E+12,2515695,0,2.11,-3.36,9,2.34,-3.38,8.9,3.01,-1.61,0.63,1007.27,0
1.56834E+12,2516330,0,2.23,-3.39,8.96,2.33,-3.36,8.91,3.71,-2.73,-1.4,1007.27,0
1.56834E+12,2516353,0,2.35,-3.4,8.96,2.3,-3.36,8.92,4.55,-0.49,-1.4,1007.27,0
1.56834E+12,2516283,0,2.17,-3.3,9.05,2.32,-3.35,8.92,2.66,-0.49,-0.91,1007.27,0
1.56834E+12,2516343,0,2.1,-3.43,9.02,2.31,-3.32,8.94,2.87,-0.07,-1.4,1007.26,0
1.56834E+12,2516296,0,2.32,-3.35,8.93,2.29,-3.31,8.94,5.39,0.84,-0.35,1007.26,0
1.56834E+12,2516115,0,2.24,-3.28,8.96,2.29,-3.31,8.94,4.13,1.33,0.35,1007.26,0
1.56834E+12,2515561,0,2.21,-3.4,8.97,2.27,-3.29,8.95,7.84,1.33,-0.21,1007.26,0
1.56834E+12,2515294,0,2.29,-3.44,8.95,2.25,-3.28,8.96,6.02,0.84,0.84,1007.26,0
1.56834E+12,2515337,0,2.25,-3.35,8.98,2.24,-3.24,8.98,2.73,-0.07,0.84,1007.26,0
1.56834E+12,2515216,0,2.18,-3.46,8.96,2.22,-3.22,8.99,-3.08,0.77,-1.96,1007.26,0
1.56834E+12,2515157,0,2.25,-3.27,8.88,2.2,-3.22,9,-4.2,1.75,1.75,1007.26,0
1.56834E+12,2515275,0,2.16,-3.32,8.98,2.21,-3.25,8.99,2.31,0.28,0.91,1007.26,0
1.56834E+12,2515393,0,2.15,-3.25,9.03,2.19,-3.3,8.97,4.48,1.61,-0.42,1007.26,0
1.56834E+12,2516167,0,2.18,-3.33,8.7,2.18,-3.34,8.96,5.18,0.28,0.14,1007.26,0
1.56834E+12,2517790,0,2.15,-3.72,9.09,2.16,-3.31,8.98,9.8,0.98,-0.49,1007.26,0
1.56834E+12,2519580,0,2.06,-3.69,8.81,2.15,-3.31,8.98,10.85,0.07,-0.84,1007.26,0
1.56834E+12,2521112,0,2.1,-3.25,8.85,2.13,-3.27,8.99,4.76,0.63,-0.35,1007.26,0
1.56834E+12,2521776,0,2.12,-3.51,8.82,2.11,-3.23,9.02,3.64,0.91,-0.63,1007.26,0
1.56834E+12,2519430,0,2.13,-3.4,8.89,2.11,-3.22,9.02,0.84,0.14,-1.19,1007.26,0
1.56834E+12,2515524,0,2.04,-3.35,9.07,2.1,-3.21,9.02,3.78,0.14,-1.75,1007.26,0
1.56834E+12,2515633,0,2.18,-3.38,8.95,2.1,-3.24,9.02,5.32,0.21,-1.47,1007.26,0
1.56834E+12,2518527,0,2.11,-3.35,9.03,2.1,-3.23,9.02,4.41,0.63,-0.35,1007.26,0
1.56834E+12,2520467,0,2.09,-3.48,8.89,2.1,-3.22,9.02,4.48,0.56,-0.77,1007.26,0
1.56834E+12,2520828,0,2.11,-3.4,8.96,2.1,-3.21,9.03,6.93,0.56,-0.21,1007.26,0
1.56834E+12,2520836,0,2.17,-3.34,8.92,2.1,-3.21,9.03,6.16,1.26,0.49,1007.26,0
1.56834E+12,2520681,0,2.12,-3.32,8.92,2.09,-3.2,9.03,3.36,-0.14,-0.35,1007.26,0
1.56834E+12,2520363,0,2.13,-3.4,8.88,2.07,-3.18,9.04,4.13,-0.42,-1.05,1007.26,0
1.56834E+12,2519668,0,2.14,-3.39,8.93,2.08,-3.19,9.04,4.69,0.56,0.28,1007.26,0
1.56834E+12,2518720,0,2.05,-3.29,8.99,2.08,-3.19,9.04,2.87,-0.42,-0.28,1007.26,0
1.56834E+12,2518082,0,2.1,-3.4,8.85,2.07,-3.18,9.04,4.9,-0.35,-0.49,1007.26,0
1.56834E+12,2517388,0,2.13,-3.33,8.8,2.08,-3.19,9.04,3.92,-0.21,0.35,1007.26,0
1.56834E+12,2515979,0,2.05,-3.26,8.92,2.08,-3.18,9.04,4.62,-1.61,-1.4,1007.26,0
1.56834E+12,2514337,0,2.11,-3.37,8.97,2.07,-3.18,9.04,6.23,-0.63,-0.63,1007.26,0
1.56834E+12,2512681,0,2.12,-3.28,9,2.08,-3.17,9.04,4.97,-1.05,-0.42,1007.26,0
1.56834E+12,2511216,0,2.04,-3.35,9,2.08,-3.15,9.05,5.95,-0.98,-1.4,1007.26,0
1.56834E+12,2510231,0,2.18,-3.29,8.96,2.09,-3.16,9.05,3.78,-0.21,-0.28,1007.26,0
1.56834E+12,2509458,0,2.11,-3.25,8.99,2.1,-3.13,9.05,3.43,-0.84,-0.49,1007.25,0
1.56834E+12,2509018,0,2.14,-3.35,8.96,2.1,-3.13,9.05,6.58,-1.12,-1.05,1007.25,0
1.56834E+12,2508729,0,2.19,-3.16,8.89,2.11,-3.14,9.05,7.42,-0.35,-0.07,1007.25,0
1.56834E+12,2508033,0,2.13,-3.21,8.98,2.12,-3.12,9.05,6.72,-0.77,-0.98,1007.25,0
1.56834E+12,2507012,0,2.16,-3.3,8.82,2.11,-3.09,9.06,7.56,-0.42,-1.47,1007.25,0
1.56834E+12,2505751,0,2.22,-3.26,9.13,2.12,-3.07,9.07,10.01,-0.28,-0.35,1007.25,0
1.56834E+12,2504436,0,2.13,-3.22,9.06,2.11,-3.03,9.08,8.26,-2.38,-3.92,1007.25,0
1.56834E+12,2503256,0,2.23,-3.17,8.97,2.09,-2.98,9.1,7.21,-2.59,-4.55,1007.25,0
1.56834E+12,2501638,0,2.13,-3.02,9.13,2.11,-2.96,9.11,11.9,1.82,-0.84,1007.25,0
1.56834E+12,2499842,0,2.02,-3.06,9.18,2.14,-2.95,9.1,-1.96,2.24,-1.68,1007.25,0
1.56834E+12,2498740,0,2.15,-3.1,8.88,2.11,-2.85,9.14,10.92,7.42,2.24,1007.25,0
1.56834E+12,2498368,0,2.4,-3.15,8.92,2.15,-2.9,9.12,7.49,10.78,5.18,1007.25,0
1.56834E+12,2499023,0,2.11,-2.71,9.52,2.19,-2.8,9.14,5.25,13.51,11.34,1007.25,0
1.56834E+12,2499459,0,2.56,-3.23,8.79,2.04,-2.72,9.2,20.02,10.99,-1.12,1007.26,0
1.56834E+12,2499196,0,3.04,-2.69,9.23,1.9,-2.77,9.21,-4.55,-3.43,-2.03,1007.26,0
1.56834E+12,2498140,0,1.37,-2.32,8.71,1.78,-2.58,9.29,15.89,-5.32,-4.2,1007.26,0
1.56834E+12,2496543,0,1.45,-3.66,8.97,1.81,-2.69,9.26,24.85,-2.24,-2.73,1007.26,0
1.56834E+12,2493512,0,1.5,-2.22,9.72,1.83,-2.65,9.26,13.16,-4.27,-2.52,1007.26,0
1.56834E+12,2490833,0,1.76,-3.21,9.01,1.8,-2.5,9.31,-6.58,-7.21,-5.32,1007.26,0
1.56834E+12,2489872,0,1.92,-2.87,9,1.8,-2.39,9.34,-3.5,-5.53,-2.38,1007.26,0
1.56834E+12,2488114,0,1.67,-2.19,9.2,1.87,-2.44,9.31,-4.55,-6.37,0.42,1007.26,0
1.56834E+12,2488499,0,1.8,-2.07,9.44,1.92,-2.48,9.29,-4.2,-6.58,-0.28,1007.26,0
1.56834E+12,2490044,0,2,-2.47,9.23,2,-2.54,9.26,-0.84,-2.73,1.4,1007.26,0
1.56834E+12,2494224,0,2.01,-2.53,9.25,2.07,-2.61,9.22,-0.77,-0.35,0.77,1007.26,0
1.56834E+12,2498429,0,2.32,-2.69,9.2,2.1,-2.65,9.2,-12.18,-1.54,-0.14,1007.26,0
1.56834E+12,2500426,0,2.39,-2.82,9.15,2.1,-2.63,9.21,3.78,-2.66,-3.99,1007.26,0
1.56834E+12,2499913,0,2.15,-2.82,9.02,2.13,-2.74,9.17,9.31,-2.73,-6.65,1007.26,0
1.56834E+12,2498861,0,2.11,-2.44,9.39,2.14,-2.76,9.16,-1.61,-2.73,-6.79,1007.27,0
1.56834E+12,2497605,0,2.07,-2.97,8.9,2.16,-2.71,9.17,-4.97,3.22,-1.12,1007.27,0
1.56834E+12,2496253,0,2.14,-3.02,9.01,2.23,-2.73,9.15,-6.79,-1.61,2.59,1007.27,0
1.56834E+12,2495302,0,2.24,-2.8,9.3,2.19,-2.71,9.17,-27.51,-4.27,4.62,1007.27,0
1.56834E+12,2494475,0,2.64,-2.89,9.08,2.2,-2.75,9.15,-39.97,-3.57,-0.35,1007.27,0
1.56834E+12,2493271,0,1.89,-2.39,9.47,2.23,-2.96,9.08,-37.24,3.15,4.55,1007.27,0
1.56834E+12,2491115,0,2.16,-2.73,9.31,2.33,-3.21,8.97,18.13,6.51,3.57,1007.27,0
1.56834E+12,2489165,0,2.12,-3.67,9.61,2.38,-3.55,8.83,-21.14,-7,2.8,1007.27,0
1.56834E+12,2486866,0,2.52,-3.51,8.98,2.25,-3.4,8.92,22.33,0.42,-5.88,1007.27,0
1.56834E+12,2482977,0,2.18,-4.64,7.71,2.28,-3.66,8.81,28.7,0.77,-4.06,1007.27,0
1.56834E+12,2483323,0,1.63,-2.74,8.47,2.27,-3.6,8.84,23.94,0.91,-1.82,1007.27,0
1.56834E+12,2486736,0,1.93,-4.66,8.23,2.24,-3.45,8.9,11.34,1.75,-1.82,1007.27,0
1.56834E+12,2487558,0,2.32,-4.12,8.58,2.2,-3.35,8.95,4.97,0.91,1.12,1007.27,0
1.56834E+12,2486391,0,2.26,-3.47,8.68,2.17,-3.29,8.98,5.11,0.77,-0.07,1007.27,0
1.56834E+12,2484988,0,2.23,-3.66,9.14,2.16,-3.29,8.98,4.41,0.21,-1.33,1007.27,0
1.56834E+12,2484897,0,2.1,-3.37,8.91,2.14,-3.29,8.99,1.68,-0.7,-2.73,1007.27,0
1.56834E+12,2484419,0,2.13,-3.53,8.96,2.13,-3.28,8.99,12.39,4.69,1.89,1007.27,0
1.56834E+12,2484119,0,2.12,-3.53,8.94,2.2,-3.34,8.96,2.1,4.06,10.43,1007.27,0
1.56834E+12,2483481,0,2.17,-3.47,9.11,2.16,-3.21,9.01,23.03,5.67,7.84,1007.27,0
1.56834E+12,2482054,0,2.65,-3.8,8.57,2.18,-3.29,8.98,-2.87,-1.05,5.81,1007.27,0
1.56834E+12,2480813,0,2.28,-2.87,9.42,2.05,-3.12,9.07,16.17,-2.73,-4.41,1007.27,0
1.56834E+12,2479787,0,2.56,-3.96,8.59,2.03,-3.21,9.04,20.09,-1.26,-6.3,1007.27,0
1.56834E+12,2479844,0,1.49,-2.6,8.88,2.01,-3.18,9.06,7.63,-1.26,0.42,1007.27,0
1.56834E+12,2481671,0,1.86,-3.64,8.83,2,-3.09,9.09,-6.93,-6.44,0.42,1007.27,0
1.56834E+12,2482697,0,1.8,-3.58,8.94,2.01,-3.05,9.1,-3.85,-5.39,-2.03,1007.27,0
1.56834E+12,2482851,0,2.1,-3.39,9.34,2.07,-3.13,9.06,13.79,0.14,-3.78,1007.27,0
1.56834E+12,2481027,0,2.18,-3.04,9.3,2.14,-3.23,9.01,-11.76,-1.89,-3.92,1007.26,0
1.56834E+12,2482895,0,2.29,-3.3,9.03,2.12,-3.1,9.06,-6.02,3.22,2.24,1007.26,0
1.56834E+12,2488999,0,2.42,-3.81,8.69,2.17,-3.2,9.01,3.85,2.24,1.05,1007.26,0
1.56834E+12,2493823,0,2.12,-2.87,9.72,2.15,-3.28,8.99,9.1,0.42,-1.4,1007.26,0
1.56834E+12,2495016,0,2.36,-3.5,8.81,2.12,-3.29,8.99,6.37,0.14,-0.21,1007.26,0
1.56834E+12,2494649,0,2,-3.67,8.72,2.12,-3.26,9,3.43,-0.42,0.21,1007.26,0
1.56834E+12,2494217,0,2.01,-3.48,8.82,2.11,-3.23,9.01,5.74,-1.47,-1.12,1007.26,0
1.56834E+12,2493731,0,2.18,-3.45,8.93,2.1,-3.23,9.02,3.92,-0.7,-0.7,1007.26,0
1.56834E+12,2492482,0,2.17,-3.33,9.07,2.1,-3.23,9.02,4.27,0.21,0.28,1007.26,0
1.56834E+12,2491294,0,2.06,-3.42,9.24,2.11,-3.22,9.02,6.65,2.31,0.7,1007.26,0
1.56834E+12,2490945,0,2.11,-3.4,8.93,2.12,-3.24,9.01,2.17,0.98,0.35,1007.26,0
1.56834E+12,2491091,0,2.18,-3.33,8.85,2.09,-3.19,9.03,3.22,0.63,-1.12,1007.26,0
1.56834E+12,2490380,0,2.22,-3.49,8.84,2.09,-3.21,9.03,3.43,0.14,-0.42,1007.26,0
1.56834E+12,2490209,0,2.08,-3.19,9.03,2.09,-3.21,9.03,3.92,0.7,0.49,1007.26,0
1.56834E+12,2491044,0,2.09,-3.43,8.91,2.09,-3.21,9.03,6.37,0.35,-0.35,1007.26,0
1.56834E+12,2491492,0,2.11,-3.34,8.94,2.08,-3.21,9.03,4.9,-1.05,-0.91,1007.26,0
1.56834E+12,2491443,0,2.16,-3.38,8.96,2.07,-3.19,9.04,2.73,-1.19,-1.05,1007.26,0
